b-day,b-month,b-year,g-day,g-month,g-year
1,14,206,22,11,2049
1,15,206,11,12,2049
1,16,206,30,12,2049
1,17,206,18,1,2050
1,18,206,6,2,2050
1,1,207,20,3,2050
1,2,207,8,4,2050
1,3,207,27,4,2050
1,4,207,16,5,2050
1,5,207,4,6,2050
1,6,207,23,6,2050
1,7,207,12,7,2050
1,8,207,31,7,2050
1,9,207,19,8,2050
1,10,207,7,9,2050
1,11,207,26,9,2050
1,12,207,15,10,2050
1,13,207,3,11,2050
1,14,207,22,11,2050
1,15,207,11,12,2050
1,16,207,30,12,2050
1,17,207,18,1,2051
1,18,207,6,2,2051
1,1,208,21,3,2051
1,2,208,9,4,2051
1,3,208,28,4,2051
1,4,208,17,5,2051
1,5,208,5,6,2051
1,6,208,24,6,2051
1,7,208,13,7,2051
1,8,208,1,8,2051
1,9,208,20,8,2051
1,10,208,8,9,2051
1,11,208,27,9,2051
1,12,208,16,10,2051
1,13,208,4,11,2051
1,14,208,23,11,2051
1,15,208,12,12,2051
1,16,208,31,12,2051
1,17,208,19,1,2052
1,18,208,7,2,2052
1,1,209,20,3,2052
1,2,209,8,4,2052
1,3,209,27,4,2052
1,4,209,16,5,2052
1,5,209,4,6,2052
1,6,209,23,6,2052
1,7,209,12,7,2052
1,8,209,31,7,2052
1,9,209,19,8,2052
1,10,209,7,9,2052
1,11,209,26,9,2052
1,12,209,15,10,2052
1,13,209,3,11,2052
1,14,209,22,11,2052
1,15,209,11,12,2052
1,16,209,30,12,2052
1,17,209,18,1,2053
1,18,209,6,2,2053
1,1,210,20,3,2053
1,2,210,8,4,2053
1,3,210,27,4,2053
1,4,210,16,5,2053
1,5,210,4,6,2053
1,6,210,23,6,2053
1,7,210,12,7,2053
1,8,210,31,7,2053
1,9,210,19,8,2053
1,10,210,7,9,2053
1,11,210,26,9,2053
1,12,210,15,10,2053
1,13,210,3,11,2053
1,14,210,22,11,2053
1,15,210,11,12,2053
1,16,210,30,12,2053
1,17,210,18,1,2054
1,18,210,6,2,2054
1,1,211,20,3,2054
1,2,211,8,4,2054
1,3,211,27,4,2054
1,4,211,16,5,2054
1,5,211,4,6,2054
1,6,211,23,6,2054
1,7,211,12,7,2054
1,8,211,31,7,2054
1,9,211,19,8,2054
1,10,211,7,9,2054
1,11,211,26,9,2054
1,12,211,15,10,2054
1,13,211,3,11,2054
1,14,211,22,11,2054
1,15,211,11,12,2054
1,16,211,30,12,2054
1,17,211,18,1,2055
1,18,211,6,2,2055
1,1,212,21,3,2055
1,2,212,9,4,2055
1,3,212,28,4,2055
1,4,212,17,5,2055
1,5,212,5,6,2055
1,6,212,24,6,2055
1,7,212,13,7,2055
1,8,212,1,8,2055
1,9,212,20,8,2055
1,10,212,8,9,2055
1,11,212,27,9,2055
1,12,212,16,10,2055
1,13,212,4,11,2055
1,14,212,23,11,2055
1,15,212,12,12,2055
1,16,212,31,12,2055
1,17,212,19,1,2056
1,18,212,7,2,2056
1,1,213,20,3,2056
1,2,213,8,4,2056
1,3,213,27,4,2056
1,4,213,16,5,2056
1,5,213,4,6,2056
1,6,213,23,6,2056
1,7,213,12,7,2056
1,8,213,31,7,2056
1,9,213,19,8,2056
1,10,213,7,9,2056
1,11,213,26,9,2056
1,12,213,15,10,2056
1,13,213,3,11,2056
1,14,213,22,11,2056
1,15,213,11,12,2056
1,16,213,30,12,2056
1,17,213,18,1,2057
1,18,213,6,2,2057
1,1,214,20,3,2057
1,2,214,8,4,2057
1,3,214,27,4,2057
1,4,214,16,5,2057
1,5,214,4,6,2057
1,6,214,23,6,2057
1,7,214,12,7,2057
1,8,214,31,7,2057
1,9,214,19,8,2057
1,10,214,7,9,2057
1,11,214,26,9,2057
1,12,214,15,10,2057
1,13,214,3,11,2057
1,14,214,22,11,2057
1,15,214,11,12,2057
1,16,214,30,12,2057
1,17,214,18,1,2058
1,18,214,6,2,2058
1,1,215,20,3,2058
1,2,215,8,4,2058
1,3,215,27,4,2058
1,4,215,16,5,2058
1,5,215,4,6,2058
1,6,215,23,6,2058
1,7,215,12,7,2058
1,8,215,31,7,2058
1,9,215,19,8,2058
1,10,215,7,9,2058
1,11,215,26,9,2058
1,12,215,15,10,2058
1,13,215,3,11,2058
1,14,215,22,11,2058
1,15,215,11,12,2058
1,16,215,30,12,2058
1,17,215,18,1,2059
1,18,215,6,2,2059
1,1,216,20,3,2059
1,2,216,8,4,2059
1,3,216,27,4,2059
1,4,216,16,5,2059
1,5,216,4,6,2059
1,6,216,23,6,2059
1,7,216,12,7,2059
1,8,216,31,7,2059
1,9,216,19,8,2059
1,10,216,7,9,2059
1,11,216,26,9,2059
1,12,216,15,10,2059
1,13,216,3,11,2059
1,14,216,22,11,2059
1,15,216,11,12,2059
1,16,216,30,12,2059
1,17,216,18,1,2060
1,18,216,6,2,2060
1,1,217,20,3,2060
1,2,217,8,4,2060
1,3,217,27,4,2060
1,4,217,16,5,2060
1,5,217,4,6,2060
1,6,217,23,6,2060
1,7,217,12,7,2060
1,8,217,31,7,2060
1,9,217,19,8,2060
1,10,217,7,9,2060
1,11,217,26,9,2060
1,12,217,15,10,2060
1,13,217,3,11,2060
1,14,217,22,11,2060
1,15,217,11,12,2060
1,16,217,30,12,2060
1,17,217,18,1,2061
1,18,217,6,2,2061
1,1,218,20,3,2061
1,2,218,8,4,2061
1,3,218,27,4,2061
1,4,218,16,5,2061
1,5,218,4,6,2061
1,6,218,23,6,2061
1,7,218,12,7,2061
1,8,218,31,7,2061
1,9,218,19,8,2061
1,10,218,7,9,2061
1,11,218,26,9,2061
1,12,218,15,10,2061
1,13,218,3,11,2061
1,14,218,22,11,2061
1,15,218,11,12,2061
1,16,218,30,12,2061
1,17,218,18,1,2062
1,18,218,6,2,2062
1,1,219,20,3,2062
1,2,219,8,4,2062
1,3,219,27,4,2062
1,4,219,16,5,2062
1,5,219,4,6,2062
1,6,219,23,6,2062
1,7,219,12,7,2062
1,8,219,31,7,2062
1,9,219,19,8,2062
1,10,219,7,9,2062
1,11,219,26,9,2062
1,12,219,15,10,2062
1,13,219,3,11,2062
1,14,219,22,11,2062
1,15,219,11,12,2062
1,16,219,30,12,2062
1,17,219,18,1,2063
1,18,219,6,2,2063
1,1,220,20,3,2063
1,2,220,8,4,2063
1,3,220,27,4,2063
1,4,220,16,5,2063
1,5,220,4,6,2063
1,6,220,23,6,2063
1,7,220,12,7,2063
1,8,220,31,7,2063
1,9,220,19,8,2063
1,10,220,7,9,2063
1,11,220,26,9,2063
1,12,220,15,10,2063
1,13,220,3,11,2063
1,14,220,22,11,2063
1,15,220,11,12,2063
1,16,220,30,12,2063
1,17,220,18,1,2064
1,18,220,6,2,2064
